release,distributor,seasons,adjusted_gross
Easter Sunday,Universal Pictures,summer,13794511
Easy A,Screen Gems,fall,80594020
Easy Money,Orion Pictures,summer,89687883
Eat Pray Love,Sony Pictures Entertainment (SPE),summer,111192133
Eddie,Walt Disney Studios Motion Pictures,summer,60891098
Eddie Murphy: Raw,Paramount Pictures,holiday season,133501028
Edge of Darkness,Warner Bros.,winter,59773168
Edge of Tomorrow,Warner Bros.,summer,128264007
Edtv,Universal Pictures,spring,40826052
Educating Rita,Columbia Pictures,fall,41344219
Edward Scissorhands,Twentieth Century Fox,holiday season,128257594
Eight Below,Walt Disney Studios Motion Pictures,winter,123234973
Elf,New Line Cinema,holiday season,276452550
Elf2020 Re-release,New Line Cinema,holiday season,2291000
Elizabethtown,Paramount Pictures,fall,42155179
Elvis,Warner Bros.,summer,160102450
Elysium,TriStar Pictures,summer,120965152
Emma,Miramax,summer,43129416
Emma.,Focus Features,winter,11664211
Empire of the Sun,Warner Bros.,holiday season,34820255
Employee of the Month,Lionsgate,fall,42951731
Encanto,Walt Disney Studios Motion Pictures,holiday season,109109505
Enchanted,Walt Disney Studios Motion Pictures,holiday season,165973821
Enchanted April,Miramax,summer,28644368
Encino Man,Walt Disney Studios Motion Pictures,summer,88304845
End of Days,Universal Pictures,holiday season,113132566
End of Watch,Open Road Films (II),fall,53812088
Ender's Game,Lionsgate,fall,79668503
Endless Love,Universal Pictures,summer,107273042
Enemy at the Gates,Paramount Pictures,spring,87897006
Enemy of the State,Walt Disney Studios Motion Pictures,holiday season,205781538
Enough,Sony Pictures Entertainment (SPE),summer,67613083
Entourage,Warner Bros.,summer,41425157
Entrapment,Twentieth Century Fox,spring,159622000
Epic,Twentieth Century Fox,summer,139774286
Epic Movie,Twentieth Century Fox,winter,58814263
Eragon,Twentieth Century Fox,holiday season,85194855
Eraser,Warner Bros.,summer,192085974
Erin Brockovich,Universal Pictures,spring,222303512
Ernest Goes to Camp,Walt Disney Studios Motion Pictures,summer,63240237
Ernest Goes to Jail,Walt Disney Studios Motion Pictures,spring,58819487
Ernest Saves Christmas,Walt Disney Studios Motion Pictures,holiday season,70677634
Ernest Scared Stupid,Walt Disney Studios Motion Pictures,fall,31398081
Escape Room,Sony Pictures Entertainment (SPE),holiday season,67836665
Escape Room: Tournament of Champions,Sony Pictures Entertainment (SPE),summer,28858818
Escape from L.A.,Paramount Pictures,summer,49426088
Escape from Planet Earth,The Weinstein Company,winter,74116870
Eternal Sunshine of the Spotless Mind,Focus Features,spring,55729197
Eternals,Walt Disney Studios Motion Pictures,holiday season,187662605
Evan Almighty,Universal Pictures,summer,148684201
Event Horizon,Paramount Pictures,summer,50145694
Ever After: A Cinderella Story,Twentieth Century Fox,summer,113614538
Everest,MacGillivray Freeman Films,spring,136125920
Everest,Universal Pictures,fall,55657305
Everybody's All-American,Warner Bros.,holiday season,32733181
Everything Everywhere All at Once,A24,spring,72768961
"Everything, Everything",Warner Bros.,summer,41969002
Evil Dead,TriStar Pictures,spring,70511812
Evil Under the Sun,Universal Pictures,spring,19368700
Evita,Walt Disney Studios Motion Pictures,holiday season,93223732
Evolution,DreamWorks Distribution,summer,65570794
Ex Machina,A24,spring,32560074
Excalibur,Warner Bros.,spring,120287983
Executive Decision,Warner Bros.,spring,109744279
Exit Wounds,Warner Bros.,spring,88507204
Exodus: Gods and Kings,Twentieth Century Fox,holiday season,71330995
Exorcist: The Beginning,Warner Bros.,summer,67751617
Explorers,Paramount Pictures,summer,28039444
Extreme Measures,Sony Pictures Entertainment (SPE),fall,33717444
Extreme Prejudice,TriStar Pictures,spring,30418100
Extremities,Atlantic Releasing Corporation,summer,36631388
Eye for an Eye,Paramount Pictures,winter,52142522
Eyes Wide Shut,Warner Bros.,summer,101357998
Eyes of a Stranger,Warner Bros.,spring,3848100
F/X,Orion Pictures,winter,56248141
F/X2,Orion Pictures,summer,46802406
F9: The Fast Saga,Universal Pictures,summer,197226777
Face/Off,Paramount Pictures,summer,211079154
Fahrenheit 9/11,Lionsgate,summer,193104252
Failure to Launch,Paramount Pictures,spring,133959939
Fall,Lionsgate,summer,7674952
Fallen,Warner Bros.,winter,46679734
Falling Down,Warner Bros.,winter,82006081
Falling in Love,Paramount Pictures,holiday season,27191977
Fame,Metro-Goldwyn-Mayer (MGM),summer,81630891
Fantasia 2000,Walt Disney Studios Motion Pictures,holiday season,105862620
Fantasia1990 Re-release,Walt Disney Studios Motion Pictures,fall,59603921
Fantastic Beasts and Where to Find Them,Warner Bros.,holiday season,280571221
Fantastic Beasts: The Crimes of Grindelwald,Warner Bros.,holiday season,189706049
Fantastic Beasts: The Secrets of Dumbledore,Warner Bros.,spring,101601894
Fantastic Four,Twentieth Century Fox,summer,314703306
Fantastic Four: Rise of the Silver Surfer,Twentieth Century Fox,summer,195244172
Fantasy Island,Sony Pictures Entertainment (SPE),winter,30672467
Far and Away,Universal Pictures,summer,127777932
Fargo,Gramercy Pictures (I),spring,46721636
Fast & Furious,Universal Pictures,spring,220191256
Fast & Furious 6,Universal Pictures,summer,310283805
Fast & Furious Presents: Hobbs & Shaw,Universal Pictures,summer,207008752
Fast Five,Universal Pictures,spring,285379238
Fast Times at Ridgemont High,Universal Pictures,summer,85884429
Fat Albert,Twentieth Century Fox,holiday season,42412205
Fatal Attraction,Paramount Pictures,fall,407395901
Fatal Beauty,Metro-Goldwyn-Mayer (MGM),fall,32405154
Fatale,Lionsgate,holiday season,7237624
Father Stu,Sony Pictures Entertainment (SPE),spring,22137883
Father of the Bride,Walt Disney Studios Motion Pictures,holiday season,195264485
Father of the Bride Part II,Walt Disney Studios Motion Pictures,holiday season,150900555
Fathers' Day,Warner Bros.,summer,53764946
Fear,Universal Pictures,spring,40412140
Fences,Paramount Pictures,holiday season,71739900
Ferdinand,Twentieth Century Fox,holiday season,103207493
FernGully: The Last Rainforest,Twentieth Century Fox,spring,53491142
Ferris Bueller's Day Off,Paramount Pictures,summer,191472287
Fever Pitch,Twentieth Century Fox,spring,66051578
Field of Dreams,Universal Pictures,spring,159146113
Fifty Shades Darker,Universal Pictures,winter,140934937
Fifty Shades Freed,Universal Pictures,winter,121493389
Fifty Shades of Grey,Universal Pictures,winter,212694054
Fight Club,Twentieth Century Fox,fall,66160152
Fighting with My Family,Metro-Goldwyn-Mayer (MGM),winter,27321074
Final Analysis,Warner Bros.,winter,62041743
Final Destination,New Line Cinema,spring,94396130
Final Destination 2,New Line Cinema,winter,77513681
Final Destination 3,New Line Cinema,winter,81686501
Final Destination 5,Warner Bros.,summer,57919194
Final Fantasy: The Spirits Within,Sony Pictures Entertainment (SPE),summer,54945429
Finding Dory,Walt Disney Studios Motion Pictures,summer,612732406
Finding Forrester,Sony Pictures Entertainment (SPE),holiday season,81700875
Finding Nemo,Walt Disney Studios Motion Pictures,summer,560528403
Finding Nemo2012 3D Release,Walt Disney Studios Motion Pictures,fall,54173206
Finding Neverland,Miramax,holiday season,43741049
Finding You,Roadside Attractions,summer,3139542
Fire Birds,Walt Disney Studios Motion Pictures,summer,34687059
Fire in the Sky,Paramount Pictures,spring,41759659
Firefox,Warner Bros.,summer,148065234
Fireproof,The Samuel Goldwyn Company,fall,47123603
Firestarter,Universal Pictures,summer,60539295
Firewalker,Cannon Film Distributors,holiday season,32622091
Firewall,Warner Bros.,winter,73614295
First Blood,Orion Pictures,fall,149664905
First Family,Warner Bros.,holiday season,44518889
First Kid,Walt Disney Studios Motion Pictures,summer,51394078
First Knight,Sony Pictures Entertainment (SPE),summer,74824865
First Man,Universal Pictures,fall,54356872
First Sunday,Screen Gems,winter,53863253
Fist Fight,Warner Bros.,winter,39590030
Five Feet Apart,Lionsgate,spring,54417772
Flags of Our Fathers,DreamWorks,fall,50739587
Flash Gordon,Universal Pictures,holiday season,104365646
Flashdance,Paramount Pictures,spring,284338881
Flatliners,Columbia Pictures,summer,144499772
Fletch,Universal Pictures,summer,143740601
Fletch Lives,Universal Pictures,spring,86822871
Flight,Paramount Pictures,fall,121411687
Flight of the Intruder,Paramount Pictures,winter,32384765
Flight of the Navigator,Walt Disney Studios Motion Pictures,summer,50681393
Flightplan,Walt Disney Studios Motion Pictures,fall,139859085
Flipper,Universal Pictures,summer,38955238
Florence Foster Jenkins,Paramount Pictures,summer,34503550
Flowers in the Attic,New World Pictures,holiday season,40758169
Flubber,Walt Disney Studios Motion Pictures,holiday season,144999220
Flushed Away,DreamWorks,holiday season,93217009
Fly Away Home,Sony Pictures Entertainment (SPE),fall,48779006
Focus,Warner Bros.,winter,68944592
Follow That Bird,Warner Bros.,summer,39650290
Fool's Gold,Warner Bros.,winter,99728078
Fools Rush In,Sony Pictures Entertainment (SPE),winter,55425084
Footloose,Paramount Pictures,winter,235304081
Footloose2011 Re-release,Paramount Pictures,fall,70196371
For Colored Girls,Lionsgate,holiday season,51984025
For Keeps?,TriStar Pictures,winter,45362692
For Love of the Game,Universal Pictures,fall,64043324
For Richer or Poorer,Universal Pictures,holiday season,37957401
For Your Eyes Only,Metro-Goldwyn-Mayer (MGM),summer,188556038
For the Boys,Twentieth Century Fox,holiday season,39649821
Forced Vengeance,Metro-Goldwyn-Mayer (MGM),summer,16797335
Forces of Nature,DreamWorks Distribution,spring,96279237
Ford v Ferrari,Twentieth Century Fox,holiday season,139660147
Forever Young,Warner Bros.,holiday season,119313571
Forget Paris,Sony Pictures Entertainment (SPE),summer,66023611
Forgetting Sarah Marshall,Universal Pictures,spring,89704897
Forrest Gump,Paramount Pictures,summer,663514781
Four Brothers,Paramount Pictures,summer,116956178
Four Christmases,Warner Bros.,holiday season,162073548
Four Weddings and a Funeral,Gramercy Pictures (I),spring,105717419
Foxes,Metro-Goldwyn-Mayer (MGM),winter,28760839
Fracture,New Line Cinema,spring,57739009
Frankenweenie,Walt Disney Studios Motion Pictures,fall,45821664
Frankie and Johnny,Paramount Pictures,fall,50557247
Frantic,Warner Bros.,winter,45682290
Freaky,Universal Pictures,holiday season,10094389
Freaky Friday,Walt Disney Studios Motion Pictures,summer,181666362
Fred Claus,Warner Bros.,holiday season,105598152
Freddy vs. Jason,New Line Cinema,summer,136320290
Freddy's Dead: The Final Nightmare,New Line Cinema,fall,77415913
Free Birds,Relativity Media,fall,70905296
Free Guy,20th Century Studios,summer,138654321
Free Willy,Warner Bros.,summer,163167112
Free Willy 2: The Adventure Home,Warner Bros.,summer,59853450
Freedom Writers,Paramount Pictures,holiday season,54176290
Freejack,Warner Bros.,winter,37169986
French Kiss,Twentieth Century Fox,summer,77404739
Frequency,New Line Cinema,spring,79668192
Friday,New Line Cinema,spring,54660452
Friday After Next,New Line Cinema,holiday season,54674711
Friday Night Lights,Universal Pictures,fall,99234592
Friday the 13th,Paramount Pictures,summer,153055213
Friday the 13th,Warner Bros.,winter,92302866
Friday the 13th Part 2,Paramount Pictures,spring,74726349
Friday the 13th Part III,Paramount Pictures,summer,109623415
Friday the 13th Part VI: Jason Lives,Paramount Pictures,summer,79439702
Friday the 13th Part VII: The New Blood,Paramount Pictures,summer,49650302
Friday the 13th Part VIII: Jason Takes Manhattan,Paramount Pictures,summer,35429620
Friday the 13th: A New Beginning,Paramount Pictures,spring,62282387
Friday the 13th: The Final Chapter,Paramount Pictures,spring,96963787
Fried Green Tomatoes,Universal Pictures,holiday season,165125175
Friends with Benefits,Screen Gems,summer,75891745
Fright Night,Columbia Pictures,summer,70779153
From Dusk Till Dawn,Miramax,winter,50123035
From Hell,Twentieth Century Fox,fall,53840605
From the Hip,De Laurentiis Entertainment Group (DEG),winter,25604339
Frozen,Walt Disney Studios Motion Pictures,holiday season,518206504
Frozen II,Walt Disney Studios Motion Pictures,holiday season,566657690
Full Metal Jacket,Warner Bros.,summer,124702148
Fun with Dick and Jane,Sony Pictures Entertainment (SPE),holiday season,169846184
Funny Farm,Warner Bros.,summer,66141402
Funny People,Universal Pictures,summer,73634163
Furious 7,Universal Pictures,spring,451848985
Fury,Sony Pictures Entertainment (SPE),fall,109112753
G-Force,Walt Disney Studios Motion Pictures,summer,169600213
G.I. Jane,Walt Disney Studios Motion Pictures,summer,90558013
G.I. Joe: Retaliation,Paramount Pictures,spring,159279978
G.I. Joe: The Rise of Cobra,Paramount Pictures,summer,213286127
Galaxy Quest,DreamWorks Distribution,holiday season,127699470
Game Night,Warner Bros.,winter,83706669
Gandhi,Columbia Pictures,holiday season,150700437
Gangs of New York,Miramax,holiday season,129719984
Gangster Squad,Warner Bros.,winter,59801173
Garden State,-,summer,43328293
Garfield,Twentieth Century Fox,summer,122098734
Gemini Man,Paramount Pictures,fall,57770656
George of the Jungle,Walt Disney Studios Motion Pictures,summer,197894923
Geostorm,Warner Bros.,fall,41301901
Geronimo: An American Legend,Columbia Pictures,holiday season,28317857
Get Hard,Warner Bros.,spring,115726659
Get Him to the Greek,Universal Pictures,summer,84144775
Get Out,Universal Pictures,winter,216094850
Get Rich or Die Tryin',Paramount Pictures,holiday season,48329878
Get Shorty,Metro-Goldwyn-Mayer (MGM),fall,143482227
Get Smart,Warner Bros.,summer,185053275
Get on Up,Universal Pictures,summer,39299968
Getting Even with Dad,Metro-Goldwyn-Mayer (MGM),summer,38682667
Ghost,Paramount Pictures,summer,482558721
Ghost Dad,Universal Pictures,summer,58062937
Ghost Rider,Sony Pictures Entertainment (SPE),winter,171388420
Ghost Rider: Spirit of Vengeance,Sony Pictures Entertainment (SPE),winter,68341682
Ghost Ship,Warner Bros.,fall,50130236
Ghost Story,Universal Pictures,holiday season,74975366
Ghost in the Shell,Paramount Pictures,spring,49893175
Ghostbusters,Columbia Pictures,summer,649504791
Ghostbusters,Sony Pictures Entertainment (SPE),summer,161721723
Ghostbusters II,Columbia Pictures,summer,277862002
Ghostbusters1985 Re-release,Columbia Pictures,summer,26665143
Ghostbusters: Afterlife,Sony Pictures Entertainment (SPE),holiday season,146912525
Ghosts of Girlfriends Past,Warner Bros.,spring,78455036
Gifted,-,spring,30505490
Gilda Live,Warner Bros.,spring,8706801
"Girl, Interrupted",Sony Pictures Entertainment (SPE),holiday season,50556046
Girls Trip,Universal Pictures,summer,141661049
Gladiator,DreamWorks Distribution,summer,330299792
Glass,Universal Pictures,winter,132147676
Glass Onion,Netflix,holiday season,14076800
Gloria,Columbia Pictures,fall,15629741
Glory,TriStar Pictures,holiday season,62272509
Glory Road,Walt Disney Studios Motion Pictures,winter,64397647
Gnomeo & Juliet,Walt Disney Studios Motion Pictures,winter,135956035
God's Not Dead,Freestyle Releasing,spring,77767336
Gods of Egypt,Lionsgate,winter,39253364
Godzilla,Sony Pictures Entertainment (SPE),summer,252181443
Godzilla,Warner Bros.,summer,256865368
Godzilla vs. Kong,Warner Bros.,spring,113541383
Godzilla: King of the Monsters,Warner Bros.,summer,131495164
Going in Style,Warner Bros.,spring,55372805
GoldenEye,Metro-Goldwyn-Mayer (MGM),holiday season,181786179
Gone Fishin',Walt Disney Studios Motion Pictures,summer,37122333
Gone Girl,Twentieth Century Fox,fall,212732906
Gone in 60 Seconds,Walt Disney Studios Motion Pictures,summer,179917970
Good Boy,Metro-Goldwyn-Mayer (MGM),fall,62123094
Good Boys,Universal Pictures,summer,98936964
Good Burger,Paramount Pictures,summer,44580426
Good Deeds,Lionsgate,winter,46234044
Good Luck Chuck,Lionsgate,fall,51825599
"Good Morning, Vietnam",Walt Disney Studios Motion Pictures,holiday season,316580856
Good Will Hunting,Miramax,holiday season,247518494
Goodfellas,Warner Bros.,fall,88096485
Goosebumps,Sony Pictures Entertainment (SPE),fall,101290071
Goosebumps 2: Slappy's Revenge,Sony Pictures Entertainment (SPE),fall,56507765
Gorillas in the Mist,Universal Pictures,fall,64026040
Gorky Park,Orion Pictures,holiday season,30176997
Gosford Park,USA Films,holiday season,69112942
Gotcha!,Universal Pictures,spring,30691649
Gothika,Warner Bros.,holiday season,95224714
Gran Torino,Warner Bros.,holiday season,201944176
Grand Canyon,Twentieth Century Fox,holiday season,71837713
Graveyard Shift,Paramount Pictures,fall,27219793
Gravity,Warner Bros.,fall,331319597
Grease 2,Paramount Pictures,summer,48093578
Grease1998 Re-release,Paramount Pictures,spring,52560383
Great Balls of Fire!,Orion Pictures,summer,33940418
Great Expectations,Twentieth Century Fox,winter,48878243
Green Book,Universal Pictures,holiday season,101888463
Green Card,Walt Disney Studios Motion Pictures,holiday season,65937969
Green Lantern,Warner Bros.,summer,158577593
Green Zone,Universal Pictures,spring,48374050
Gremlins,Warner Bros.,summer,435615269
Gremlins 2: The New Batch,Warner Bros.,summer,97483186
Gretel & Hansel,United Artists Releasing,winter,17803278
"Greystoke: The Legend of Tarzan, Lord of the Apes",Warner Bros.,spring,134824175
Gridiron Gang,Sony Pictures Entertainment (SPE),fall,58033562
Grindhouse,-,spring,37056087
Gross Anatomy,Walt Disney Studios Motion Pictures,fall,28663357
Grosse Pointe Blank,Walt Disney Studios Motion Pictures,spring,52798591
Groundhog Day,Columbia Pictures,winter,148904643
Grown Ups,Sony Pictures Entertainment (SPE),summer,223561636
Grown Ups 2,Sony Pictures Entertainment (SPE),summer,173769082
Grumpier Old Men,Warner Bros.,holiday season,139921544
Grumpy Old Men,Warner Bros.,holiday season,121556691
Guardians of the Galaxy,Walt Disney Studios Motion Pictures,summer,426156321
Guardians of the Galaxy Vol. 2,Walt Disney Studios Motion Pictures,summer,479470114
Guarding Tess,TriStar Pictures,spring,55469523
Guess Who,Sony Pictures Entertainment (SPE),spring,108197944
Guilty as Sin,Walt Disney Studios Motion Pictures,summer,48019066
Gung Ho,Paramount Pictures,spring,99949695
Guyana: Cult of the Damned,Universal Pictures,winter,14622692
Hacksaw Ridge,Lionsgate,holiday season,81223649
"Hail, Caesar!",Universal Pictures,winter,38427587
Hairspray,New Line Cinema,summer,175926031
Half Baked,Universal Pictures,winter,32301037
Half Brothers,Focus Features,holiday season,2338734
Hall Pass,Warner Bros.,winter,61282598
Halloween,-,summer,86242602
Halloween,Universal Pictures,fall,192797177
Halloween 4: The Return of Michael Myers,-,fall,46021080
Halloween 5: The Revenge of Michael Myers,-,fall,28756367
Halloween Ends,Universal Pictures,fall,67924651
Halloween H20: 20 Years Later,Dimension Films,summer,101827215
Halloween II,-,summer,47418021
Halloween II,Universal Pictures,fall,87836333
Halloween III: Season of the Witch,Universal Pictures,fall,45648000
Halloween Kills,Universal Pictures,fall,104882456
Halloween: Resurrection,Dimension Films,summer,51299006
Halloween: The Curse of Michael Myers,Dimension Films,fall,30082101
Hamburger Hill,Paramount Pictures,summer,37227996
Hamlet,Warner Bros.,holiday season,45198429
Hancock,Sony Pictures Entertainment (SPE),summer,323683709
Hanging Up,Sony Pictures Entertainment (SPE),winter,63808907
Hanky Panky,Columbia Pictures,summer,31141870
Hanna,Focus Features,spring,54752401
Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,Walt Disney Studios Motion Pictures,winter,92700129
Hannah Montana: The Movie,Walt Disney Studios Motion Pictures,spring,112998188
Hannah and Her Sisters,Orion Pictures,winter,96620714
Hannibal,Metro-Goldwyn-Mayer (MGM),winter,282307778
Hannibal Rising,-,winter,40953059
Hansel & Gretel: Witch Hunters,Paramount Pictures,winter,72414517
Happy Death Day,Universal Pictures,fall,68491129
Happy Death Day 2U,Universal Pictures,winter,33496274
Happy Feet,Warner Bros.,holiday season,265711116
Happy Feet Two,Warner Bros.,holiday season,82541655
Happy Gilmore,Universal Pictures,winter,75318752
Hard Rain,Paramount Pictures,winter,36760548
Hard Target,Universal Pictures,summer,68438321
Hard to Hold,Universal Pictures,spring,32674589
Hard to Kill,Warner Bros.,winter,111415443
Hardball,Paramount Pictures,fall,68472020
Hardbodies,Columbia Pictures,spring,20937853
Harlem Nights,Paramount Pictures,holiday season,133489690
Harold & Kumar Escape from Guantanamo Bay,Warner Bros.,spring,54114393
Harriet,Focus Features,fall,50631763
Harriet the Spy,Paramount Pictures,summer,51545893
Harry Potter and the Chamber of Secrets,Warner Bros.,holiday season,412135856
Harry Potter and the Deathly Hallows: Part 1,Warner Bros.,holiday season,386717575
Harry Potter and the Deathly Hallows: Part 2,Warner Bros.,summer,518175257
Harry Potter and the Goblet of Fire,Warner Bros.,holiday season,429051452
Harry Potter and the Half-Blood Prince,Warner Bros.,summer,428782059
Harry Potter and the Order of the Phoenix,Warner Bros.,summer,432167012
Harry Potter and the Prisoner of Azkaban,Warner Bros.,summer,404256531
Harry Potter and the Sorcerer's Stone,Warner Bros.,holiday season,542473691
Harry and the Hendersons,Universal Pictures,summer,80056048
Haunted Honeymoon,Orion Pictures,summer,21931173
He Got Game,Walt Disney Studios Motion Pictures,spring,39900528
He Knows You're Alone,Metro-Goldwyn-Mayer (MGM),summer,18770428
He's Just Not That Into You,Warner Bros.,winter,133414187
Head of State,DreamWorks Distribution,spring,62906657
Heart Beat,Warner Bros.,winter,3673077
Heart and Souls,Universal Pictures,summer,34838034
Heartbeeps,Universal Pictures,holiday season,7412154
Heartbreak Ridge,Warner Bros.,holiday season,116145903
Heartbreakers,Metro-Goldwyn-Mayer (MGM),spring,68975597
Heartburn,Paramount Pictures,summer,69107735
Hearts in Atlantis,Warner Bros.,fall,41357685
Heat,Warner Bros.,holiday season,132414599
Heaven Is for Real,TriStar Pictures,spring,117047363
Heavyweights,Walt Disney Studios Motion Pictures,winter,35201462
Heidi's Song,Paramount Pictures,holiday season,16244319
Heist,Warner Bros.,holiday season,40203538
Hell or High Water,Lionsgate,summer,34029883
Hellboy,Revolution Studios,spring,96590811
Hellboy II: The Golden Army,Universal Pictures,summer,107900834
Hello Again,Walt Disney Studios Motion Pictures,holiday season,54928309
Hellraiser,New World Pictures,fall,39177232
Hellraiser III: Hell on Earth,Miramax,fall,27200865
Henry & June,Universal Pictures,fall,27183505
Her Alibi,Warner Bros.,winter,46186621
Herbie Fully Loaded,Walt Disney Studios Motion Pictures,summer,103657391
Hercules,Metro-Goldwyn-Mayer (MGM),summer,32669153
Hercules,Paramount Pictures,summer,93041425
Hercules,Walt Disney Studios Motion Pictures,summer,186330749
Here Comes the Boom,Sony Pictures Entertainment (SPE),fall,57551545
Here Today,Stage 6 Films,summer,3200543
Hereafter,Warner Bros.,fall,45104547
Hereditary,A24,summer,53324041
Hero,Columbia Pictures,fall,42330938
Hero,Miramax,summer,87005968
Hero at Large,Metro-Goldwyn-Mayer (MGM),winter,61348737
Hidalgo,Walt Disney Studios Motion Pictures,spring,109031589
Hidden Figures,Twentieth Century Fox,holiday season,206173007
Hide and Seek,Twentieth Century Fox,winter,80227763
Hide in Plain Sight,Metro-Goldwyn-Mayer (MGM),spring,14656680
High Crimes,Twentieth Century Fox,spring,70209219
High Fidelity,Walt Disney Studios Motion Pictures,spring,48298232
High Road to China,Warner Bros.,spring,87044536
High School High,Sony Pictures Entertainment (SPE),fall,41326114
High School Musical 3: Senior Year,Walt Disney Studios Motion Pictures,fall,127348526
Higher Learning,Sony Pictures Entertainment (SPE),winter,76198538
Highlander II: The Quickening,-,fall,34535074
History of the World: Part I,Twentieth Century Fox,summer,108954800
Hitch,Sony Pictures Entertainment (SPE),winter,281808021
Hitman,Twentieth Century Fox,holiday season,58045478
Hitman's Wife's Bodyguard,Lionsgate,summer,43336788
Hocus Pocus,Walt Disney Studios Motion Pictures,summer,82980897
Hocus Pocus2020 Re-release,Walt Disney Studios Motion Pictures,fall,5600480
Hoffa,Twentieth Century Fox,holiday season,28625058
Holes,Walt Disney Studios Motion Pictures,spring,111220845
Hollow Man,Sony Pictures Entertainment (SPE),summer,129580531
Hollywood Homicide,Revolution Studios,summer,51052140
Home,Twentieth Century Fox,spring,227068812
Home Again,Open Road Films (II),fall,33234949
Home Alone,Twentieth Century Fox,holiday season,645113072
Home Alone 2: Lost in New York,Twentieth Century Fox,holiday season,374064029
Home Alone 3,Twentieth Century Fox,holiday season,36163817
Home for the Holidays,Paramount Pictures,holiday season,34863146
Home on the Range,Walt Disney Studios Motion Pictures,spring,81049346
Homeward Bound II: Lost in San Francisco,Walt Disney Studios Motion Pictures,spring,63578634
Homeward Bound: The Incredible Journey,Walt Disney Studios Motion Pictures,winter,87849980
Honest Thief,Open Road Films (II),fall,16429745
Honey,Universal Pictures,holiday season,45157530
"Honey, I Blew Up the Kid",Walt Disney Studios Motion Pictures,summer,124562450
"Honey, I Shrunk the Kids",Walt Disney Studios Motion Pictures,summer,322888704
Honeymoon in Vegas,Columbia Pictures,summer,76403213
Honeysuckle Rose,Warner Bros.,summer,68588566
Honky Tonk Freeway,Universal Pictures,summer,6896312
Hoodlum,Metro-Goldwyn-Mayer (MGM),summer,44178311
Hoodwinked,The Weinstein Company,holiday season,77593782
Hook,TriStar Pictures,holiday season,262864057
Hoosiers,Orion Pictures,holiday season,63368128
Hop,Universal Pictures,spring,146996014
Hope Floats,Twentieth Century Fox,summer,111098410
Hope Springs,Sony Pictures Entertainment (SPE),summer,83867534
Hope and Glory,Columbia Pictures,fall,25855521
Horrible Bosses,Warner Bros.,summer,159852440
Horrible Bosses 2,Warner Bros.,holiday season,66234144
Horton Hears a Who!,Twentieth Century Fox,spring,219431803
Hostage,Miramax,spring,54379573
Hostel,Lionsgate,winter,71462974
Hostiles,Entertainment Studios Motion Pictures,holiday season,35977376
Hot Dog... The Movie,Metro-Goldwyn-Mayer (MGM),winter,59703535
Hot Pursuit,Warner Bros.,summer,44262657
Hot Shots!,Twentieth Century Fox,summer,154218109
Hot Shots! Part Deux,Twentieth Century Fox,summer,81738241
Hot Tub Time Machine,Metro-Goldwyn-Mayer (MGM),spring,69396827
Hotel Transylvania,Sony Pictures Entertainment (SPE),fall,191824630
Hotel Transylvania 2,Sony Pictures Entertainment (SPE),fall,215642903
Hotel Transylvania 3: Summer Vacation,Sony Pictures Entertainment (SPE),summer,204231544
Hotel for Dogs,DreamWorks,winter,103708933
House,New World Pictures,winter,53083842
House Party,New Line Cinema,spring,62006223
House Party 2,New Line Cinema,fall,43153776
House Party 3,New Line Cinema,winter,39526531
House of Gucci,United Artists Releasing,holiday season,60911547
House of Wax,Warner Bros.,summer,50341736
House on Haunted Hill,Warner Bros.,fall,73468647
HouseSitter,Universal Pictures,summer,118725267
Houseguest,Walt Disney Studios Motion Pictures,winter,52387259
How Stella Got Her Groove Back,Twentieth Century Fox,summer,69694940
How the Grinch Stole Christmas,Universal Pictures,holiday season,445382807
How to Be Single,Warner Bros.,winter,59022826
How to Be a Latin Lover,Pantelion Films,spring,39543766
How to Lose a Guy in 10 Days,Paramount Pictures,winter,174592065
How to Make an American Quilt,Universal Pictures,fall,46964039
How to Train Your Dragon,DreamWorks,spring,300262098
How to Train Your Dragon 2,Twentieth Century Fox,summer,226563742
How to Train Your Dragon: The Hidden World,Universal Pictures,winter,191351410
Howard the Duck,Universal Pictures,summer,44487463
Hudson Hawk,TriStar Pictures,summer,38224137
Hugo,Paramount Pictures,holiday season,66127776
Hulk,Universal Pictures,summer,218092436
Hustlers,STX Entertainment,fall,124903165
I Am Legend,Warner Bros.,holiday season,376038782
I Am Number Four,Walt Disney Studios Motion Pictures,winter,74936594
I Am Sam,New Line Cinema,holiday season,68044848
I Can Do Bad All by Myself,Lionsgate,fall,73462167
I Can Only Imagine,Roadside Attractions,spring,101013645
I Feel Pretty,STX Entertainment,spring,59042677
I Heard the Bells,Fathom Events,holiday season,5897122
I Know What You Did Last Summer,Sony Pictures Entertainment (SPE),fall,136461931
I Love Trouble,Walt Disney Studios Motion Pictures,summer,63152697
I Love You to Death,TriStar Pictures,spring,38038963
"I Love You, Man",DreamWorks,spring,101444815
I Now Pronounce You Chuck & Larry,Universal Pictures,summer,177688142
I Ought to Be in Pictures,Twentieth Century Fox,spring,22089698
I Spy,Sony Pictures Entertainment (SPE),fall,56273163
I Still Believe,Lionsgate,spring,11447484
I Still Know What You Did Last Summer,Sony Pictures Entertainment (SPE),holiday season,71946285
